title;abstract;doi;application_area;clinical_procedure;multimodal_imaging;study_category;research_environment;purpose;imaging_technique;spectral_range
Characterization of a near-infrared laparoscopic hyperspectral imaging system for minimally invasive surgery;We developed and characterized a new imaging platform for minimally invasive surgical venues, specifically a system to help guide laparoscopic surgeons to visualize biliary anatomy. This platform is a novel combination of a near-infrared hyperspectral imaging system coupled with a conventional surgical laparoscope. Intraoperative tissues are illuminated by optical fibers arranged in a ring around a center-mounted relay lens collecting back-reflected light from tissues to the hyperspectral imaging system. The system consists of a focal plane array (FPA) and a liquid crystal tunable filter, which is continuously tunable in the near-infrared spectral range of 650-1100 nm with the capability of passing light with a mean bandwidth of 6.95 nm, and the FPA is a high-sensitivity back-illuminated, deep depleted charge-coupled device. Placing a standard resolution target 5.1 cm from the distal end of the laparoscope, a typical intraoperative working distance, produced a 7.6-cm-diameter field of view with an optimal spatial resolution of 0.24 mm. In addition, the system's spatial and spectral resolution and its wavelength tuning accuracy are characterized. The spectroscopic images are formatted into a three-dimensional hyperspectral image cube and processed using principle component analysis. The processed images provide contrast based on measured spectra associated with chemically different anatomical structures helping identify the main molecular chromophores inherent to each tissue. The principal component images were found to image swine gallbladder and biliary structures from surrounding tissues, in real time, during cholecystectomy surgery. Furthermore, it is shown that surgeons can interrogate selected image subregions for their molecular composition identifying biliary anatomy during surgery and before any invasive action is undertaken.;10.1021/ac070367n;gastrointestinal;endoscopic_laparoscopic;no;animal, technical evaluation;in-vivo;tissue segmentation, system development;spectral scanning;NIR, VIS
Hyperspectral Imaging Using Flexible Endoscopy for Laryngeal Cancer Detection;Hyperspectral imaging (HSI) is increasingly gaining acceptance in the medical field. Up until now, HSI has been used in conjunction with rigid endoscopy to detect cancer in vivo. The logical next step is to pair HSI with flexible endoscopy, since it improves access to hard-to-reach areas. While the flexible endoscope's fiber optic cables provide the advantage of flexibility, they also introduce an interfering honeycomb-like pattern onto images. Due to the substantial impact this pattern has on locating cancerous tissue, it must be removed before the HS data can be further processed. Thereby, the loss of information is to minimize avoiding the suppression of small-area variations of pixel values. We have developed a system that uses flexible endoscopy to record HS cubes of the larynx and designed a special filtering technique to remove the honeycomb-like pattern with minimal loss of information. We have confirmed its feasibility by comparing it to conventional filtering techniques using an objective metric and by applying unsupervised and supervised classifications to raw and pre-processed HS cubes. Compared to conventional techniques, our method successfully removes the honeycomb-like pattern and considerably improves classification performance, while preserving image details.;10.3390/s16081288;ENT;endoscopic_laparoscopic;no;technical evaluation;not-available;other, system development;not-available;not-available
Switchable LED-based laparoscopic multispectral system for rapid high-resolution perfusion imaging;Significance: Multispectral imaging (MSI) is an approach for real-time, quantitative, and non-invasive tissue perfusion measurements. Current laparoscopic systems based on mosaic sensors or filter wheels lack high spatial resolution or acceptable frame rates. Aim: To develop a laparoscopic system for MSI-based color video and tissue perfusion imaging during gastrointestinal surgery without compromising spatial or temporal resolution. Approach: The system was built with 14 switchable light-emitting diodes in the visible and near-infrared spectral range, a 4K image sensor, and a 10 mm laparoscope. Illumination patterns were created for tissue oxygenation and hemoglobin content monitoring. The system was calibrated to a clinically approved laparoscopic hyperspectral system using linear regression models and evaluated in an occlusion study with 36 volunteers. Results: The root mean squared errors between the MSI and reference system were 0.073 for hemoglobin content, 0.039 for oxygenation in deeper tissue layers, and 0.093 for superficial oxygenation. The spatial resolution at a working distance of 45 mm was 156 mu m. The effective frame rate was 20 fps. Conclusions: High-resolution perfusion monitoring was successfully achieved. Hardware optimizations will increase the frame rate. Parameter optimizations through alternative illumination patterns, regression, or assumed tissue models are planned. Intraoperative measurements must confirm the suitability during surgery. (c) The Authors. Published by SPIE under a Creative Commons Attribution 4.0 International License. Distribution or reproduction of this work in whole or in part requires full attribution of the original publication, including its DOI.;10.1117/1.JBO.28.12.126002;gastrointestinal;endoscopic_laparoscopic;no;technical evaluation, human;in-vivo;tissue perfusion, system development;spectral scanning;VIS, NIR
Optical imaging of hemoglobin oxygen saturation using a small number of spectral images for endoscopic application;Tissue hypoxia is associated with tumor and inflammatory diseases, and detection of hypoxia is potentially useful for their detailed diagnosis. An endoscope system that can optically observe hemoglobin oxygen saturation (StO(2)) would enable minimally invasive, real-time detection of lesion hypoxia in vivo. Currently, point measurement of tissue StO(2) via endoscopy is possible using the commercial fiber-optic oximeter T-Stat, which is based on visible light spectroscopy at many wavelengths. For clinical use, however, imaging of StO(2) is desirable to assess the distribution of tissue oxygenation around a lesion. Here, we describe our StO(2) imaging technique based on a small number of wavelength ranges in the visible range. By assuming a homogeneous tissue, we demonstrated that tissue StO(2) can be obtained independently from the scattering property and blood concentration of tissue using four spectral bands. We developed a prototype endoscope system and used it to observe tissue-simulating phantoms. The StO(2) (%) values obtained using our technique agreed with those from the T-Stat within 10%. We also showed that tissue StO(2) can be derived using three spectral band if the scattering property is fixed at preliminarily measured values. (C) The Authors. Published by SPIE under a Creative Commons Attribution 3.0 Unported License.;10.1117/1.JBO.20.12.126011;not-available;endoscopic_laparoscopic;no;tissue phantom;other;tissue perfusion, system development;not-available;VIS
Forward-Looking Multimodal Endoscopic System Based on Optical Multispectral and High-Frequency Ultrasound Imaging Techniques for Tumor Detection;We developed a forward-looking (FL) multimodal endoscopic system that offers color, spectral classified, high-frequency ultrasound (HFUS) B-mode, and integrated backscattering coefficient (IBC) images for tumor detection in situ. Examination of tumor distributions from the surface of the colon to deeper inside is essential for determining a treatment plan of cancer. For example, the submucosal invasion depth of tumors in addition to the tumor distributions on the colon surface is used as an indicator of whether the endoscopic dissection would be operated. Thus, we devised the FL multimodal endoscopic system to offer information on the tumor distribution from the surface to deep tissue with high accuracy. This system was evaluated with bilayer gelatin phantoms which have different properties at each layer of the phantom in a lateral direction. After evaluating the system with phantoms, it was employed to characterize forty human colon tissues excised from cancer patients. The proposed system could allow us to obtain highly resolved chemical, anatomical, and macro-molecular information on excised colon tissues including tumors, thus enhancing the detection of tumor distributions from the surface to deep tissue. These results suggest that the FL multimodal endoscopic system could be an innovative screening instrument for quantitative tumor characterization.;10.1109/TMI.2020.3032275;gastrointestinal;endoscopic_laparoscopic;yes;tissue phantom, human;ex-vivo;system development, tissue classification;not-available;not-available
Development of an image pre-processor for operational hyperspectral laryngeal cancer detection;Hyperspectral imaging (HSI) is a technology with high potential in the field of non-invasive detection of cancer. However, in complex imaging situations like HSI of the larynx with a rigid endoscope, various image interferences can disable a proper classification of cancerous tissue. We identified three main problems: i) misregistration of single images in a HS cube due to patient heartbeat ii) image noise and iii) specular reflections (SR). Consequently, an image pre-processor is developed in the current paper to overcome these image interferences. It encompasses i) image registration ii) noise removal by minimum noise fraction (MNF) transformation and iii) a novel SR detection method. The results reveal that the pre-processor improves classification performance, while the newly developed SR detection method outperforms global thresholding technique hitherto used by 46%. The novel pre-processor will be used for future studies towards the development of an operational scheme for HS-based larynx cancer detection.;10.1002/jbio.201500151;ENT;endoscopic_laparoscopic;no;other;not-available;tissue classification;not-available;not-available
Lightfield hyperspectral imaging in neuro-oncology surgery: an IDEAL 0 and 1 study;IntroductionHyperspectral imaging (HSI) has shown promise in the field of intra-operative imaging and tissue differentiation as it carries the capability to provide real-time information invisible to the naked eye whilst remaining label free. Previous iterations of intra-operative HSI systems have shown limitations, either due to carrying a large footprint limiting ease of use within the confines of a neurosurgical theater environment, having a slow image acquisition time, or by compromising spatial/spectral resolution in favor of improvements to the surgical workflow. Lightfield hyperspectral imaging is a novel technique that has the potential to facilitate video rate image acquisition whilst maintaining a high spectral resolution. Our pre-clinical and first-in-human studies (IDEAL 0 and 1, respectively) demonstrate the necessary steps leading to the first in-vivo use of a real-time lightfield hyperspectral system in neuro-oncology surgery.MethodsA lightfield hyperspectral camera (Cubert Ultris x50) was integrated in a bespoke imaging system setup so that it could be safely adopted into the open neurosurgical workflow whilst maintaining sterility. Our system allowed the surgeon to capture in-vivo hyperspectral data (155 bands, 350-1,000 nm) at 1.5 Hz. Following successful implementation in a pre-clinical setup (IDEAL 0), our system was evaluated during brain tumor surgery in a single patient to remove a posterior fossa meningioma (IDEAL 1). Feedback from the theater team was analyzed and incorporated in a follow-up design aimed at implementing an IDEAL 2a study.ResultsFocusing on our IDEAL 1 study results, hyperspectral information was acquired from the cerebellum and associated meningioma with minimal disruption to the neurosurgical workflow. To the best of our knowledge, this is the first demonstration of HSI acquisition with 100+ spectral bands at a frame rate over 1Hz in surgery.DiscussionThis work demonstrated that a lightfield hyperspectral imaging system not only meets the design criteria and specifications outlined in an IDEAL-0 (pre-clinical) study, but also that it can translate into clinical practice as illustrated by a successful first in human study (IDEAL 1). This opens doors for further development and optimisation, given the increasing evidence that hyperspectral imaging can provide live, wide-field, and label-free intra-operative imaging and tissue differentiation.;10.3389/fnins.2023.1239764;cerebral;not-available;no;human;in-vivo;tissue classification;other;UV, VIS, NIR
Light source calibration for multispectral imaging in surgery;Purpose Live intra-operative functional imaging has multiple potential clinical applications, such as localization of ischemia, assessment of organ transplantation success and perfusion monitoring. Recent research has shown that live monitoring of functional tissue properties, such as tissue oxygenation and blood volume fraction, is possible using multispectral imaging in laparoscopic surgery. While the illuminant spectrum is typically kept constant in laparoscopic surgery and can thus be estimated from preoperative calibration images, a key challenge in open surgery originates from the dynamic changes of lighting conditions. Methods The present paper addresses this challenge with a novel approach to light source calibration based on specular highlight analysis. It involves the acquisition of low-exposure time images serving as a basis for recovering the illuminant spectrum from pixels that contain a dominant specular reflectance component. Results Comprehensive in silico and in vivo experiments with a range of different light sources demonstrate that our approach enables an accurate and robust recovery of the illuminant spectrum in the field of view of the camera, which results in reduced errors with respect to the estimation of functional tissue properties. Our approach further outperforms state-of-the-art methods proposed in the field of computer vision. Conclusion Our results suggest that low-exposure multispectral images are well suited for light source calibration via specular highlight analysis. This work thus provides an important first step toward live functional imaging in open surgery.;10.1007/s11548-020-02195-y;not-available;not-available;no;technical evaluation, simulation;in-vivo;not-available;not-available;not-available
Intraoperative colon perfusion assessment using multispectral imaging;In colorectal surgery an anastomosis performed using poorly-perfused, ischacmic bowel segments may result in a leak and consequent morbidity. Traditional measures of perfusion assessment rely on clinical judgement and are mainly subjective, based on tissue appearance, leading to variability between clinicians. This paper describes a multispectral imaging (MSI) laparoscope that can derive quantitative measures of tissue oxygen saturation (SO2). The system uses a xenon surgical light source and fast filter wheel camera to capture eight narrow waveband images across the visible range in approximately 0.3 s. Spectral validation measurements were performed by imaging standardised colour tiles and comparing reflectance with ground truth spectrometer data. Tissue spectra were decomposed into individual contributions from haemoglobin, adipose tissue and scattering, using a previously-developed regression approach. Initial clinical results from seven patients undergoing colorectal surgery are presented and used to characterise measurement stability and reproducibility in vivo. Strategies to improve signal-to-noise ratio and correct for motion are described. Images of healthy bowel tissue (in vivo) indicate that baseline SO2 is approximately 75 t 6%. The SO2 profile along a bowel segment following ligation of the inferior mesenteric artery (IMA) shows a decrease from the proximal to distal end. In the clinical cases shown, imaging results concurred with clinical judgements of the location of well-perfused tissue. Adipose tissue, visibly yellow in the RGB images, is shown to surround the mesentery and cover some of the serosa. SO2 in this tissue is consistently high, with mean value of 90%. These results show that MSI is a potential intraoperative guidance tool for assessment of perfusion. Mapping of SO2 in the colon could be used by surgeons to guide choice of transection points and ensure that well-perfused tissue is used to form an anastomosis. The observation of high mesenteric SO2 agrees with work in the literature and warrants further exploration. Larger studies incorporating with a wider cohort of clinicians will help to provide retrospective evidence of how this imaging technique may be able to reduce inter-operator variability. Published by The Optical Society under the terms of the Creative Commons Attribution 4.0 License.;10.1364/BOE.435118;gastrointestinal;endoscopic_laparoscopic;no;technical evaluation, human;in-vivo;system development, tissue perfusion;spectral scanning;VIS
Automatic optical biopsy for colorectal cancer using hyperspectral imaging and artificial neural networks;Background Intraoperative identification of cancerous tissue is fundamental during oncological surgical or endoscopic procedures. This relies on visual assessment supported by histopathological evaluation, implying a longer operative time. Hyperspectral imaging (HSI), a contrast-free and contactless imaging technology, provides spatially resolved spectroscopic analysis, with the potential to differentiate tissue at a cellular level. However, HSI produces big data, which is impossible to directly interpret by clinicians. We hypothesize that advanced machine learning algorithms (convolutional neural networks-CNNs) can accurately detect colorectal cancer in HSI data. Methods In 34 patients undergoing colorectal resections for cancer, immediately after extraction, the specimen was opened, the tumor-bearing section was exposed and imaged using HSI. Cancer and normal mucosa were categorized from histopathology. A state-of-the-art CNN was developed to automatically detect regions of colorectal cancer in a hyperspectral image. Accuracy was validated with three levels of cross-validation (twofold, fivefold, and 15-fold). Results 32 patients had colorectal adenocarcinomas confirmed by histopathology (9 left, 11 right, 4 transverse colon, and 9 rectum). 6 patients had a local initial stage (T1-2) and 26 had a local advanced stage (T3-4). The cancer detection performance of the CNN using 15-fold cross-validation showed high sensitivity and specificity (87% and 90%, respectively) and a ROC-AUC score of 0.95 (considered outstanding). In the T1-2 group, the sensitivity and specificity were 89% and 90%, respectively, and in the T3-4 group, the sensitivity and specificity were 81% and 93%, respectively. Conclusions Automatic colorectal cancer detection on fresh specimens using HSI, using a properly trained CNN is feasible and accurate, even with small datasets, regardless of the local tumor extension. In the near future, this approach may become a useful intraoperative tool during oncological endoscopic and surgical procedures, and may result in precise and non-destructive optical biopsies to support objective and consistent tumor-free resection margins.;10.1007/s00464-022-09524-z;gastrointestinal;not-available;no;human;ex-vivo;tissue classification;not-available;not-available
Double-AOTF-based aberration-free spectral imaging endoscopic system for biomedical applications;The problem of in vivo photoluminescence diagnostics of the tissues accessible by endoscopes is discussed. The spectral imaging module attachable to conventional rigid and flexible medical endoscopes is developed and described. It is based on a double acousto-optical tunable filter (AOTF) and a specialized optical coupling system. The module provides wide field of view (FOV), absence of image distortions, random spectral access, fast spectral image acquisition at any wavelength in the visible range and accurate measurement of reflectance spectrum in each pixel of the image. Images of typical biomedical samples are presented and discussed. Their spectra are compared to the reference data.;10.1142/S1793545815410096;not-available;endoscopic_laparoscopic;no;technical evaluation;not-available;system development;spectral scanning;not-available
Multispectral imaging of organ viability during uterine transplantation surgery in rabbits and sheep;Uterine transplantation surgery (UTx) has been proposed as a treatment for permanent absolute uterine factor infertility (AUFI) in the case of the congenital absence or surgical removal of the uterus. Successful surgical attachment of the organ and its associated vasculature is essential for the organ's reperfusion and long-term viability. Spectral imaging techniques have demonstrated the potential for the measurement of hemodynamics in medical applications. These involve the measurement of reflectance spectra by acquiring images of the tissue in different wavebands. Measures of tissue constituents at each pixel can then be extracted from these spectra through modeling of the light-tissue interaction. A multispectral imaging (MSI) laparoscope was used in sheep and rabbit UTx models to study short-and long-term changes in oxygen saturation following surgery. The whole organ was imaged in the donor and recipient animals in parallel with point measurements from a pulse oximeter. Imaging results confirmed the re-establishment of adequate perfusion in the transplanted organ after surgery. Cornual oxygenation trends measured with MSI are consistent with pulse oximeter readings, showing decreased StO(2) immediately after anastomosis of the blood vessels. Long-term results show recovery of StO2 to preoperative levels. (C) The Authors. Published by SPIE under a Creative Commons Attribution 3.0 Unported License. Distribution or reproduction of this work in whole or in part requires full attribution of the original publication, including its DOI.;10.1117/1.JBO.21.10.106006;urogenital;endoscopic_laparoscopic;no;animal;in-vivo;tissue perfusion;not-available;not-available
